grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida*, manhattan, 15puzzle_korf.txt, "1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10", 57, 39, 115960965, 12.6781, 9.14654e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10", 52, 36, 47037138, 5.06767, 9.28181e+06
X, ida*, manhattan, 15puzzle_korf.txt, "8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4", 58, 40, 312550407, 43.5435, 7.17789e+06
X, ida*, manhattan, 15puzzle_korf.txt, "9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 51, 35, 53609348, 6.11423, 8.76796e+06
X, ida*, manhattan, 15puzzle_korf.txt, "11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8", 56, 36, 187541133, 26.3568, 7.11546e+06
X, ida*, manhattan, 15puzzle_korf.txt, "8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7", 54, 36, 21108489, 2.32676, 9.07204e+06
X, ida*, manhattan, 15puzzle_korf.txt, "4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10", 48, 30, 31471357, 3.43088, 9.17296e+06
X, ida*, manhattan, 15puzzle_korf.txt, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B", 64, 48, 17200170, 1.8982, 9.06132e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13", 50, 32, 60694176, 9.48722, 6.39747e+06
X, ida*, manhattan, 15puzzle_korf.txt, "3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13", 53, 39, 29146479, 3.30467, 8.81978e+06
X, ida*, manhattan, 15puzzle_korf.txt, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11", 49, 35, 13280927, 1.48911, 8.9187e+06
X, ida*, manhattan, 15puzzle_korf.txt, "6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12", 49, 35, 6047892, 0.672208, 8.99705e+06
X, ida*, manhattan, 15puzzle_korf.txt, "8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14", 51, 39, 5676864, 0.628786, 9.02829e+06
X, ida*, manhattan, 15puzzle_korf.txt, "10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8", 59, 33, 1013303909, 160.767, 6.30292e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1", 53, 39, 40546867, 6.81852, 5.94658e+06
X, ida*, manhattan, 15puzzle_korf.txt, "10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12", 56, 44, 93833055, 15.786, 5.94407e+06
X, ida*, manhattan, 15puzzle_korf.txt, "10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5", 56, 38, 283584769, 43.1426, 6.57319e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6", 64, 50, 333575468, 54.9197, 6.07388e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1", 56, 40, 123586648, 17.2856, 7.14968e+06
X, ida*, manhattan, 15puzzle_korf.txt, "13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11", 43, 29, 2724485, 0.296765, 9.18061e+06
X, ida*, manhattan, 15puzzle_korf.txt, "3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8", 55, 29, 874620914, 120.858, 7.23677e+06
X, ida*, manhattan, 15puzzle_korf.txt, "5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14", 50, 36, 8201871, 1.37708, 5.956e+06
