grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida*, manhattan, 15puzzle_korf.txt, "5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14", 44, 30, 5656856, 0.670332, 8.43889e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6", 56, 38, 486089496, 73.1837, 6.64205e+06
X, ida*, manhattan, 15puzzle_korf.txt, "6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13", 53, 37, 106508684, 17.0046, 6.26353e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5", 56, 46, 1135519, 0.153614, 7.39203e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11", 48, 30, 77236917, 8.81324, 8.76374e+06
X, ida*, manhattan, 15puzzle_korf.txt, "15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4", 59, 41, 140638200, 15.9881, 8.79644e+06
X, ida*, manhattan, 15puzzle_korf.txt, "B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7", 54, 34, 8094995, 0.925568, 8.74598e+06
X, ida*, manhattan, 15puzzle_korf.txt, "3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11", 53, 41, 6114226, 0.700697, 8.72592e+06
X, ida*, manhattan, 15puzzle_korf.txt, "B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15", 42, 28, 478334, 0.055516, 8.61615e+06
X, ida*, manhattan, 15puzzle_korf.txt, "11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2", 59, 43, 372016122, 43.3688, 8.57796e+06
X, ida*, manhattan, 15puzzle_korf.txt, "13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7", 55, 39, 51272432, 5.84368, 8.774e+06
X, ida, manhattan, 15puzzle_korf.txt, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B", na, na, na, na, na
X, ida*, manhattan, 15puzzle_korf.txt, "12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8", 51, 31, 103285501, 13.6737, 7.55361e+06
X, ida*, manhattan, 15puzzle_korf.txt, "15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2", 55, 37, 272266161, 45.8427, 5.93914e+06
X, ida*, manhattan, 15puzzle_korf.txt, "4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15", 46, 32, 5229055, 0.87837, 5.95313e+06
X, ida*, manhattan, 15puzzle_korf.txt, "6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15", 45, 35, 2876526, 0.481432, 5.97494e+06
X, ida*, manhattan, 15puzzle_korf.txt, "9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15", 52, 34, 35304624, 5.94009, 5.94345e+06
X, ida, manhattan, 15puzzle_korf.txt, "15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4", na, na, na, na, na
X, ida*, manhattan, 15puzzle_korf.txt, "11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12", 56, 38, 382838756, 44.3701, 8.6283e+06
X, ida*, manhattan, 15puzzle_korf.txt, "5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3", 50, 36, 12409601, 1.42794, 8.69058e+06
X, ida*, manhattan, 15puzzle_korf.txt, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4", 59, 41, 808018859, 105.794, 7.63764e+06
X, ida*, manhattan, 15puzzle_korf.txt, "3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1", 57, 37, 530402191, 73.8473, 7.18242e+06
X, ida*, manhattan, 15puzzle_korf.txt, "13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15", 46, 34, 1485954, 0.168083, 8.8406e+06
X, ida*, manhattan, 15puzzle_korf.txt, "5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2", 53, 45, 1096684, 0.123963, 8.84687e+06
X, ida*, manhattan, 15puzzle_korf.txt, "4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14", 50, 34, 4525852, 0.516506, 8.76244e+06
X, ida*, manhattan, 15puzzle_korf.txt, "1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10", 51, 35, 40083442, 4.54524, 8.81878e+06
X, ida*, manhattan, 15puzzle_korf.txt, "9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3", 46, 32, 7037014, 0.808113, 8.70796e+06
X, ida*, manhattan, 15puzzle_korf.txt, "B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6", 54, 34, 77037176, 8.7743, 8.77986e+06
X, ida*, manhattan, 15puzzle_korf.txt, "7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8", 59, 39, 310295056, 48.7259, 6.36818e+06
X, ida*, manhattan, 15puzzle_korf.txt, "11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15", 56, 38, 252573420, 28.8338, 8.75962e+06
