grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28.txt, "7 25 2 26 11 24 1 0 4 8 10 19 18 5 27 17 13 21 15 6 14 9 12 3 16 23 22 20", 26, 25, 15307, 0.001079, 1.41863e+07
X, ida, gap, pancake28.txt, "8 2 13 3 11 4 19 17 9 18 27 25 23 22 14 1 15 12 26 0 5 16 6 10 24 21 20 7", 26, 26, 20557, 0.001584, 1.29779e+07
X, ida, gap, pancake28.txt, "6 12 7 17 15 20 3 24 16 18 8 10 21 22 9 19 4 0 11 27 2 26 13 1 25 14 23 5", 28, 27, 61117, 0.004559, 1.34058e+07
X, ida, gap, pancake28.txt, "9 21 19 8 7 6 12 13 1 3 26 4 15 5 22 23 11 16 25 27 14 0 10 17 18 24 2 20", 24, 23, 6038, 0.00047, 1.28468e+07
X, ida, gap, pancake28.txt, "11 17 27 4 21 2 23 16 26 7 24 18 6 25 19 1 0 10 9 15 12 5 13 8 14 3 22 20", 27, 26, 372408, 0.028262, 1.3177e+07
X, ida, gap, pancake28.txt, "0 12 23 18 22 6 25 4 7 8 2 3 1 11 16 9 17 26 20 21 13 27 10 14 5 24 19 15", 26, 25, 224085, 0.036419, 6.15297e+06
X, ida, gap, pancake28.txt, "8 3 11 9 2 21 23 24 1 13 19 27 6 5 7 17 22 10 14 25 26 15 18 4 20 0 12 16", 26, 25, 45326, 0.008136, 5.57104e+06
X, ida, gap, pancake28.txt, "13 10 1 18 23 27 8 6 17 21 12 2 16 7 25 11 15 22 0 5 9 14 20 3 26 24 4 19", 29, 28, 96994, 0.014326, 6.77049e+06
X, ida, gap, pancake28.txt, "8 7 12 24 25 5 23 4 13 0 27 18 14 19 16 2 15 1 21 26 20 6 10 3 22 11 9 17", 27, 26, 111772, 0.013992, 7.98828e+06
X, ida, gap, pancake28.txt, "21 6 4 17 23 20 13 12 5 22 8 7 18 14 27 16 9 24 25 15 3 1 10 11 26 0 2 19", 25, 24, 238960, 0.027626, 8.64982e+06
X, ida, gap, pancake28.txt, "5 27 25 16 15 20 22 8 24 14 18 26 6 11 21 9 3 4 17 19 7 10 23 13 0 12 2 1", 26, 25, 35694, 0.006046, 5.90374e+06
X, ida, gap, pancake28.txt, "14 20 12 4 9 8 3 7 5 13 26 2 23 22 21 18 25 19 6 17 27 11 15 0 10 1 24 16", 26, 25, 38705, 0.006514, 5.94182e+06
X, ida, gap, pancake28.txt, "3 19 10 21 26 16 23 24 5 7 18 22 11 8 15 1 4 20 9 12 0 2 27 25 14 13 17 6", 27, 26, 32665, 0.004154, 7.86351e+06
X, ida, gap, pancake28.txt, "11 24 4 16 18 10 1 15 0 13 3 9 23 12 20 19 26 27 7 17 25 21 6 2 14 8 22 5", 27, 26, 1004928, 0.10099, 9.95077e+06
X, ida, gap, pancake28.txt, "19 20 2 9 16 14 27 12 24 26 3 0 25 11 17 5 21 22 10 4 8 23 1 18 7 13 15 6", 27, 26, 50657, 0.004354, 1.16346e+07
X, ida, gap, pancake28.txt, "3 26 4 6 22 14 25 11 13 21 0 17 10 5 7 24 19 9 2 23 1 15 12 18 20 8 16 27", 27, 27, 58537, 0.004735, 1.23626e+07
X, ida, gap, pancake28.txt, "14 5 1 16 19 23 15 4 8 20 6 17 24 2 10 25 0 7 18 21 11 13 9 3 27 26 12 22", 28, 27, 603186, 0.045748, 1.3185e+07
X, ida, gap, pancake28.txt, "25 14 11 17 3 9 7 26 5 1 0 21 20 8 24 18 10 16 27 23 4 6 15 22 19 2 12 13", 26, 25, 248960, 0.018724, 1.32963e+07
X, ida, gap, pancake28.txt, "17 20 25 19 5 12 10 7 6 3 9 11 0 24 26 18 4 14 22 21 13 2 27 1 23 8 16 15", 26, 25, 108006, 0.00814, 1.32686e+07
X, ida, gap, pancake28.txt, "4 14 3 11 7 12 0 21 19 1 8 27 16 10 9 18 25 13 20 17 22 23 5 2 24 6 15 26", 27, 26, 160677, 0.021446, 7.49217e+06
X, ida, gap, pancake28.txt, "4 18 23 25 20 7 24 6 16 11 27 17 19 3 13 12 2 1 0 15 22 26 8 9 21 10 14 5", 25, 24, 36455, 0.003153, 1.1562e+07
X, ida, gap, pancake28.txt, "15 0 5 23 20 4 1 10 16 7 24 26 25 27 9 14 13 8 18 11 2 22 6 12 17 3 21 19", 28, 26, 3962970, 0.308273, 1.28554e+07
X, ida, gap, pancake28.txt, "21 3 13 20 26 23 16 17 18 25 4 6 15 1 9 5 19 7 0 27 24 22 10 2 12 14 8 11", 27, 26, 122501, 0.014962, 8.18747e+06
X, ida, gap, pancake28.txt, "14 22 9 6 4 18 10 2 21 16 8 25 12 26 3 15 0 1 13 19 24 27 5 20 11 23 7 17", 28, 27, 204365, 0.016477, 1.2403e+07
X, ida, gap, pancake28.txt, "8 24 1 27 14 10 22 2 17 12 9 26 13 16 6 23 25 21 0 7 19 3 20 15 18 4 5 11", 27, 27, 25576, 0.0021, 1.2179e+07
X, ida, gap, pancake28.txt, "2 17 5 6 19 14 27 18 1 20 23 12 22 16 24 10 7 3 26 21 13 25 8 11 0 15 9 4", 27, 27, 75556, 0.006805, 1.1103e+07
X, ida, gap, pancake28.txt, "21 26 24 16 14 10 8 0 4 19 17 2 11 6 23 1 20 18 9 5 3 25 15 7 27 22 12 13", 27, 27, 25239, 0.002095, 1.20473e+07
X, ida, gap, pancake28.txt, "24 21 11 19 18 2 15 27 5 0 16 7 1 26 13 8 14 25 3 17 12 20 10 23 9 6 4 22", 28, 27, 91740, 0.007466, 1.22877e+07
X, ida, gap, pancake28.txt, "15 12 0 5 10 20 25 26 4 14 11 9 19 6 21 13 27 3 1 2 23 18 17 7 24 16 8 22", 25, 25, 5319, 0.000475, 1.11979e+07
X, ida, gap, pancake28.txt, "27 19 6 5 8 10 0 4 13 22 17 14 2 11 12 20 24 21 23 15 7 9 3 18 16 25 1 26", 27, 26, 35527, 0.002796, 1.27064e+07
