grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, topspin16-4.txt, "3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15", 4, 89888, 0.002659, 3.38052e+07
X, dfid, topspin16-4.txt, "0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15", 2, 1112, 3.5e-05, 3.17714e+07
X, dfid, topspin16-4.txt, "11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15", na, na, na, na
X, dfid, topspin16-4.txt, "1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15", na, na, na, na
X, dfid, topspin16-4.txt, "3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15", 8, 106051791, 3.14095, 3.37643e+07
X, dfid, topspin16-4.txt, "0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15", 4, 71213, 0.002126, 3.34962e+07
X, dfid, topspin16-4.txt, "3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15", 4, 30638, 0.000902, 3.39667e+07
X, dfid, topspin16-4.txt, "1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15", na, na, na, na
X, dfid, topspin16-4.txt, "8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15", na, na, na, na
X, dfid, topspin16-4.txt, "4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15", 6, 6870283, 0.202198, 3.3978e+07
X, dfid, topspin16-4.txt, "0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15", 6, 2369599, 0.070501, 3.36109e+07
X, dfid, topspin16-4.txt, "14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15", na, na, na, na
X, dfid, topspin16-4.txt, "2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15", 8, 157806976, 4.65582, 3.38945e+07
X, dfid, topspin16-4.txt, "2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15", 6, 4078806, 0.121946, 3.34476e+07
X, dfid, topspin16-4.txt, "3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15", 6, 4251459, 0.123228, 3.45008e+07
X, dfid, topspin16-4.txt, "0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15", 8, 153211826, 4.53271, 3.38013e+07
X, dfid, topspin16-4.txt, "8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15", na, na, na, na
